,foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
398,"nòv, nôva, -o",adj,-,neu,,3,Adjektiv ,208,,
400,novêmber (-bra),noun,m ,November,,1,Substantiv ,459,,
401,novínar (-ja),noun,m ,Journalist,,2,Substantiv ,459,,
402,o,prep,-,über,,13,"Präposition, Lok. ",18,,
403,ob,prep,-,neben,,8,Präposition + Lok ,18,,
404,obísk (-a),noun,m ,Besuch,,9,Substantiv ,459,,
406,"obiskáti, obíšče",verb,-,besuchen,,9,"Verb, pf ",145,,
408,oblak (-a),noun,m ,Wolke,,6,Substantiv ,459,,
409,"obléči se, obléče se",verb,-,sich anziehen,,4,"Verb, pf ",145,,
410,oblíka (-e),noun,f ,Form,,9,Substantiv ,459,,
411,"obljubiti, -i",verb,-,versprechen,,13,"Verb, pf ",145,,
412,"obségati, -a",verb,-,umfassen,,16,"Verb, impf ",145,,
413,oče (-eta),noun,m ,Vater,,7,Substantiv ,459,,
414,od,prep,-,von,,12,"Präposition, Gen. ",18,,
415,"odcedíti, -í",verb,-,abtropfen,,15,"Verb, impf ",145,,
416,odlíčno,adj,-,ausgezeichnet,,9,Adverb ,208,,
417,"odločíti se, odlóči se",verb,-,sich entscheiden,,16,"Verb, pf ",145,,
419,odpreti-e,verb,-,öffnen,,10,"Verb, pf ",145,,
420,"odprt, -a, -o",adj,-,offen,,14,Adjektiv ,208,,
421,"odpŕt, -a, -o",adj,-,"offen, geöffnet",,3,Adjektiv ,208,,
422,"oglédati si, -a si",verb,-,sich anschauen,,9,"Verb, pf ",145,,
423,ôkno (-a),noun,n ,Fenster,,3,Substantiv ,459,,
424,okrog,adj,-,etwa,,14,Adverb ,208,,
425,október (-bra),noun,m ,Oktober,,1,Substantiv ,459,,
426,"okúsen -sna, -o",adj,-,lecker,,9,Adjektiv ,208,,
427,"olúpljen, -a, -o",adj,-,geschält,,15,Adjektiv ,208,,
428,omaka (-e),noun,f ,Soße,,6,Substantiv ,459,,
429,omára (-e),noun,f ,Schrank,,3,Substantiv ,459,,
431,ópera (-e),noun,f ,Oper,,1,Substantiv ,459,,
432,"opisováti, -úje",verb,-,beschreiben,,9,"Verb, impf ",145,,
433,"opráviti, -i",verb,-,"machen, erledigen",,9,"Verb, pf ",145,,
434,"oprostiti, -i",verb,-,"entschuldigen, verzeihen",,8,"Verb, pf ",145,,
435,"ópus, -a",noun,m ,Werk,,16,Substantiv ,459,,
436,organizácija (-e),noun,f ,Organisation,,1,Substantiv ,459,,
437,"organizirati, -a",verb,-,organisieren,,13,"Verb, impf/pf ",145,,
438,otrok (-a),noun,m ,Kind,,7,Substantiv ,459,,
439,pa,mix,-,denn,,13,Partikel ,32,,
440,palačinka (-e),noun,f ,Palatschinken,,5,Substantiv ,459,,
441,"pámeten, -tna, -o",adj,-,klug,,6,Adjektiv ,208,,
442,papír (-ja),noun,m ,Papier,,1,Substantiv ,459,,
443,"paprika, -e",noun,f ,Paprika,,11,Substantiv ,459,,
444,"paradižnik, -a",noun,m ,Tomate,,11,Substantiv ,459,,
445,park-a,noun,m ,Park,,9,Substantiv ,459,,
446,"parkirati, -a",verb,-,parken,,6,"Verb, pf / impf ",145,,
447,pečen krompir,noun,m ,Ofenkartoffel,,5,Substantiv ,459,,
448,"pečen, -a, -o",adj,-,"gebraten, Ofen-",,6,Adjektiv ,208,,
449,"peljati, pelje",verb,-,"bringen, führen",,9,"Verb, imp ",145,,
450,pesem (-smi),noun,-,Gedicht,,12,"Substantiv, f ",459,,
451,pesem-smi,noun,f ,"Gedicht, Lied",,9,Substantiv ,459,,
