index,111a4,111a5,111a6,112a4,112a5,112a6,113a4,113a5,113a6
голодный,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
голос,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
гора,0.0,11.0,0.0,0.0,28.0,0.0,0.0,21.0,0.0
горе,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
горка,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
город,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
горшок,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
господи,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
гость,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
готовить,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
градус,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
гран,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
грустить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
грустный,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
гулять,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
гусь,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
д,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
да,53.0,54.0,19.0,60.0,61.0,26.0,115.0,100.0,48.0
дааа,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
даааа,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
давай,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
давать,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
давно,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
даже,2.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0
дайте,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
далее,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
далекий,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
далеко,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
дальхой,0.0,5.0,1.0,1.0,12.0,0.0,2.0,7.0,0.0
дальше,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0
данить,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
данке,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
данн,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
дас,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
дать,3.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0,2.0
дача,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
два,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0
двадцать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
две,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
двенадцать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
дверка,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
дверца,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
дверь,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
двигаться,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
двойка,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
дворец,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
двумя,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
девочка,1.0,0.0,29.0,0.0,0.0,25.0,0.0,0.0,19.0
девяносто,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
дед,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
дедушка,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
делать,5.0,9.0,6.0,7.0,8.0,3.0,9.0,9.0,0.0
делаться,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
дело,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ден,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
день,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
дер,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
деревня,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
дерево,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
деревянный,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
держать,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
десять,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
диагональ,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0
дива,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
диван,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
дина,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
диплом,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
дитя,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
длинный,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
для,0.0,0.0,2.0,3.0,0.0,4.0,4.0,2.0,3.0
до,1.0,24.0,1.0,0.0,92.0,3.0,3.0,123.0,14.0
добираться,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
добраться,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
добро,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
добрый,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
довести,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
довольный,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
додуматься,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
дойти,0.0,8.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0
долгий,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
долго,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0
должный,0.0,4.0,0.0,3.0,11.0,0.0,0.0,4.0,1.0
доллар,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
дом,1.0,26.0,0.0,5.0,20.0,4.0,1.0,34.0,3.0
дома,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0
