index,sm1,sm2,sm3,sm4,sm5
N*oj,2,2,2,4,3
N*ok,9,9,9,9,9
N*om,105,105,105,117,115
N*on,103,13,10,110,13
N*or,0,0,0,2,0
N*or7,0,0,0,1,0
N*os,33,29,29,54,29
N*ot,3,2,2,59,9
N*u,35,36,36,41,36
N*u7,1,0,0,1,0
N*uS,1,1,1,1,1
N*uT,0,0,0,22,0
N4i,2,0,227,199,0
N4iT,0,0,14,14,0
N4if,0,0,8,8,0
N4ik,0,0,17,17,0
N4il,0,0,18,27,0
N4im,0,0,1,1,0
N4in,0,0,5,5,0
N4ist,0,0,0,5,0
N4it,0,0,2,16,0
N5*o,0,0,1,0,0
N5*on,1,0,0,0,0
N7*a,15,0,18,0,0
N7*aT,2,0,2,0,0
N7*al,1,0,0,0,0
N7*at,2,0,0,0,0
N7*e,13,0,13,0,0
N7*o,0,0,1,0,0
N7*on,1,0,0,0,0
N7*y,0,0,1,0,0
N7*yn,1,0,0,0,0
N7@,1,0,165,0,0
N7@j,0,0,13,0,0
N7i,2,0,9,0,0
N7iT,0,0,3,0,0
N7if,0,0,1,0,0
N7ij,0,0,2,0,0
N7im,0,0,2,0,0
N7it,0,0,2,0,0
N7ix,0,0,2,0,0
N7u,0,0,4,0,0
N7y,1,0,1,0,0
NDi,124,0,179,0,0
NDi2,0,0,1,0,0
NDij,0,0,3,0,0
NDin,0,0,1,0,0
NGi,0,0,72,0,0
NK*e,1,0,1,0,0
NK*i,2,0,2,0,0
NKi,44,0,51,0,0
NKij,58,0,58,0,0
NKim,15,0,15,0,0
NKix,18,0,18,0,0
NSi,58,0,93,0,0
NSij,0,0,1,0,0
NSj*e,1,0,1,0,0
NTi,652,0,715,0,0
NTiS,0,0,1,0,0
NTij,0,0,4,0,0
NTik,0,0,4,0,0
NTin,0,0,2,0,0
NTj@,0,0,1,0,0
NTj@f,0,0,2,0,0
NTu,1,0,1,0,0
NZi,5,0,36,0,0
NZiL,0,0,1,0,0
NZij,0,0,11,0,0
Ng*a,0,0,10,0,0
Ng*ax,0,0,4,0,0
Ni,21390,18181,18383,19768,18331
Ni2,68,53,53,66,56
Ni4,0,0,0,103,68
